continent,country_code,country_name,level1_name,level1_type,level2_name,level2_type,level3_name,level3_type,name,type,parent_name,parent_type,parent_slug,parent_import_key,display_name,slug,import_key,leaf_level,leaf_code,leaf_type,path
Europe,SI,Republic of Slovenia,Semič,Municipality,,,,,Semič,Municipality,Republic of Slovenia,country,europe/republic-of-slovenia,SI::country,"Semič, Republic of Slovenia, Europe",europe/republic-of-slovenia/semic,SI::SI-109::1::semic::europe::republic-of-slovenia::semic,1,SI-109,Municipality,Europe > Republic of Slovenia > Semič
Europe,SI,Republic of Slovenia,Sevnica,Municipality,,,,,Sevnica,Municipality,Republic of Slovenia,country,europe/republic-of-slovenia,SI::country,"Sevnica, Republic of Slovenia, Europe",europe/republic-of-slovenia/sevnica,SI::SI-110::1::sevnica::europe::republic-of-slovenia::sevnica,1,SI-110,Municipality,Europe > Republic of Slovenia > Sevnica
Europe,SI,Republic of Slovenia,Sežana,Municipality,,,,,Sežana,Municipality,Republic of Slovenia,country,europe/republic-of-slovenia,SI::country,"Sežana, Republic of Slovenia, Europe",europe/republic-of-slovenia/sezana,SI::SI-111::1::sezana::europe::republic-of-slovenia::sezana,1,SI-111,Municipality,Europe > Republic of Slovenia > Sežana
Europe,SI,Republic of Slovenia,Slovenj Gradec,Urban municipality,,,,,Slovenj Gradec,Urban municipality,Republic of Slovenia,country,europe/republic-of-slovenia,SI::country,"Slovenj Gradec, Republic of Slovenia, Europe",europe/republic-of-slovenia/slovenj-gradec,SI::SI-112::1::slovenj-gradec::europe::republic-of-slovenia::slovenj-gradec,1,SI-112,Urban municipality,Europe > Republic of Slovenia > Slovenj Gradec
Europe,SI,Republic of Slovenia,Slovenska Bistrica,Municipality,,,,,Slovenska Bistrica,Municipality,Republic of Slovenia,country,europe/republic-of-slovenia,SI::country,"Slovenska Bistrica, Republic of Slovenia, Europe",europe/republic-of-slovenia/slovenska-bistrica,SI::SI-113::1::slovenska-bistrica::europe::republic-of-slovenia::slovenska-bistrica,1,SI-113,Municipality,Europe > Republic of Slovenia > Slovenska Bistrica
Europe,SI,Republic of Slovenia,Slovenske Konjice,Municipality,,,,,Slovenske Konjice,Municipality,Republic of Slovenia,country,europe/republic-of-slovenia,SI::country,"Slovenske Konjice, Republic of Slovenia, Europe",europe/republic-of-slovenia/slovenske-konjice,SI::SI-114::1::slovenske-konjice::europe::republic-of-slovenia::slovenske-konjice,1,SI-114,Municipality,Europe > Republic of Slovenia > Slovenske Konjice
Europe,SI,Republic of Slovenia,Starše,Municipality,,,,,Starše,Municipality,Republic of Slovenia,country,europe/republic-of-slovenia,SI::country,"Starše, Republic of Slovenia, Europe",europe/republic-of-slovenia/starse,SI::SI-115::1::starse::europe::republic-of-slovenia::starse,1,SI-115,Municipality,Europe > Republic of Slovenia > Starše
Europe,SI,Republic of Slovenia,Sveti Jurij ob Ščavnici,Municipality,,,,,Sveti Jurij ob Ščavnici,Municipality,Republic of Slovenia,country,europe/republic-of-slovenia,SI::country,"Sveti Jurij ob Ščavnici, Republic of Slovenia, Europe",europe/republic-of-slovenia/sveti-jurij-ob-scavnici,SI::SI-116::1::sveti-jurij-ob-scavnici::europe::republic-of-slovenia::sveti-jurij-ob-scavnici,1,SI-116,Municipality,Europe > Republic of Slovenia > Sveti Jurij ob Ščavnici
Europe,SI,Republic of Slovenia,Šenčur,Municipality,,,,,Šenčur,Municipality,Republic of Slovenia,country,europe/republic-of-slovenia,SI::country,"Šenčur, Republic of Slovenia, Europe",europe/republic-of-slovenia/sencur,SI::SI-117::1::sencur::europe::republic-of-slovenia::sencur,1,SI-117,Municipality,Europe > Republic of Slovenia > Šenčur
Europe,SI,Republic of Slovenia,Šentilj,Municipality,,,,,Šentilj,Municipality,Republic of Slovenia,country,europe/republic-of-slovenia,SI::country,"Šentilj, Republic of Slovenia, Europe",europe/republic-of-slovenia/sentilj,SI::SI-118::1::sentilj::europe::republic-of-slovenia::sentilj,1,SI-118,Municipality,Europe > Republic of Slovenia > Šentilj
Europe,SI,Republic of Slovenia,Šentjernej,Municipality,,,,,Šentjernej,Municipality,Republic of Slovenia,country,europe/republic-of-slovenia,SI::country,"Šentjernej, Republic of Slovenia, Europe",europe/republic-of-slovenia/sentjernej,SI::SI-119::1::sentjernej::europe::republic-of-slovenia::sentjernej,1,SI-119,Municipality,Europe > Republic of Slovenia > Šentjernej
Europe,SI,Republic of Slovenia,Šentjur,Municipality,,,,,Šentjur,Municipality,Republic of Slovenia,country,europe/republic-of-slovenia,SI::country,"Šentjur, Republic of Slovenia, Europe",europe/republic-of-slovenia/sentjur,SI::SI-120::1::sentjur::europe::republic-of-slovenia::sentjur,1,SI-120,Municipality,Europe > Republic of Slovenia > Šentjur
Europe,SI,Republic of Slovenia,Škocjan,Municipality,,,,,Škocjan,Municipality,Republic of Slovenia,country,europe/republic-of-slovenia,SI::country,"Škocjan, Republic of Slovenia, Europe",europe/republic-of-slovenia/skocjan,SI::SI-121::1::skocjan::europe::republic-of-slovenia::skocjan,1,SI-121,Municipality,Europe > Republic of Slovenia > Škocjan
Europe,SI,Republic of Slovenia,Škofja Loka,Municipality,,,,,Škofja Loka,Municipality,Republic of Slovenia,country,europe/republic-of-slovenia,SI::country,"Škofja Loka, Republic of Slovenia, Europe",europe/republic-of-slovenia/skofja-loka,SI::SI-122::1::skofja-loka::europe::republic-of-slovenia::skofja-loka,1,SI-122,Municipality,Europe > Republic of Slovenia > Škofja Loka
Europe,SI,Republic of Slovenia,Škofljica,Municipality,,,,,Škofljica,Municipality,Republic of Slovenia,country,europe/republic-of-slovenia,SI::country,"Škofljica, Republic of Slovenia, Europe",europe/republic-of-slovenia/skofljica,SI::SI-123::1::skofljica::europe::republic-of-slovenia::skofljica,1,SI-123,Municipality,Europe > Republic of Slovenia > Škofljica
Europe,SI,Republic of Slovenia,Šmarje pri Jelšah,Municipality,,,,,Šmarje pri Jelšah,Municipality,Republic of Slovenia,country,europe/republic-of-slovenia,SI::country,"Šmarje pri Jelšah, Republic of Slovenia, Europe",europe/republic-of-slovenia/smarje-pri-jelsah,SI::SI-124::1::smarje-pri-jelsah::europe::republic-of-slovenia::smarje-pri-jelsah,1,SI-124,Municipality,Europe > Republic of Slovenia > Šmarje pri Jelšah
Europe,SI,Republic of Slovenia,Šmartno ob Paki,Municipality,,,,,Šmartno ob Paki,Municipality,Republic of Slovenia,country,europe/republic-of-slovenia,SI::country,"Šmartno ob Paki, Republic of Slovenia, Europe",europe/republic-of-slovenia/smartno-ob-paki,SI::SI-125::1::smartno-ob-paki::europe::republic-of-slovenia::smartno-ob-paki,1,SI-125,Municipality,Europe > Republic of Slovenia > Šmartno ob Paki
Europe,SI,Republic of Slovenia,Šoštanj,Municipality,,,,,Šoštanj,Municipality,Republic of Slovenia,country,europe/republic-of-slovenia,SI::country,"Šoštanj, Republic of Slovenia, Europe",europe/republic-of-slovenia/sostanj,SI::SI-126::1::sostanj::europe::republic-of-slovenia::sostanj,1,SI-126,Municipality,Europe > Republic of Slovenia > Šoštanj
Europe,SI,Republic of Slovenia,Štore,Municipality,,,,,Štore,Municipality,Republic of Slovenia,country,europe/republic-of-slovenia,SI::country,"Štore, Republic of Slovenia, Europe",europe/republic-of-slovenia/store,SI::SI-127::1::store::europe::republic-of-slovenia::store,1,SI-127,Municipality,Europe > Republic of Slovenia > Štore
Europe,SI,Republic of Slovenia,Tolmin,Municipality,,,,,Tolmin,Municipality,Republic of Slovenia,country,europe/republic-of-slovenia,SI::country,"Tolmin, Republic of Slovenia, Europe",europe/republic-of-slovenia/tolmin,SI::SI-128::1::tolmin::europe::republic-of-slovenia::tolmin,1,SI-128,Municipality,Europe > Republic of Slovenia > Tolmin
Europe,SI,Republic of Slovenia,Trbovlje,Municipality,,,,,Trbovlje,Municipality,Republic of Slovenia,country,europe/republic-of-slovenia,SI::country,"Trbovlje, Republic of Slovenia, Europe",europe/republic-of-slovenia/trbovlje,SI::SI-129::1::trbovlje::europe::republic-of-slovenia::trbovlje,1,SI-129,Municipality,Europe > Republic of Slovenia > Trbovlje
Europe,SI,Republic of Slovenia,Trebnje,Municipality,,,,,Trebnje,Municipality,Republic of Slovenia,country,europe/republic-of-slovenia,SI::country,"Trebnje, Republic of Slovenia, Europe",europe/republic-of-slovenia/trebnje,SI::SI-130::1::trebnje::europe::republic-of-slovenia::trebnje,1,SI-130,Municipality,Europe > Republic of Slovenia > Trebnje
Europe,SI,Republic of Slovenia,Tržič,Municipality,,,,,Tržič,Municipality,Republic of Slovenia,country,europe/republic-of-slovenia,SI::country,"Tržič, Republic of Slovenia, Europe",europe/republic-of-slovenia/trzic,SI::SI-131::1::trzic::europe::republic-of-slovenia::trzic,1,SI-131,Municipality,Europe > Republic of Slovenia > Tržič
Europe,SI,Republic of Slovenia,Turnišče,Municipality,,,,,Turnišče,Municipality,Republic of Slovenia,country,europe/republic-of-slovenia,SI::country,"Turnišče, Republic of Slovenia, Europe",europe/republic-of-slovenia/turnisce,SI::SI-132::1::turnisce::europe::republic-of-slovenia::turnisce,1,SI-132,Municipality,Europe > Republic of Slovenia > Turnišče
